Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
Refrain,Lys Assia,Switzerland,1956,French,1.0,,,,
"Wohin, kleines Pony?",Bob Martin,Austria,1957,German,10.0,3.0,,,
Straatdeuntje,Bobbejaan Schoepen,Belgium,1957,Dutch,8.0,5.0,,,
Skibet skal sejle i nat,Birthe Wilke & Gustav Winckler,Denmark,1957,Danish,3.0,10.0,,,
La belle amour,Paule Desjardins,France,1957,French,2.0,17.0,,,
"Telefon, Telefon",Margot Hielscher,Germany,1957,German,4.0,8.0,,,
Corde della mia chitarra,Nunzio Gallo,Italy,1957,Italian,6.0,7.0,,,
Amours mortes (tant de peine),Danièle Dupré,Luxembourg,1957,French,4.0,8.0,,,
Net als toen,Corry Brokken,Netherlands,1957,Dutch,1.0,31.0,,,
L'enfant que j'étais,Lys Assia,Switzerland,1957,French,8.0,5.0,,,
All,Patricia Bredin,United Kingdom,1957,English,7.0,6.0,,,
Die ganze Welt braucht Liebe,Liane Augustin,Austria,1958,German,5.0,8.0,,,
Ma petite chatte,Fud Leclerc,Belgium,1958,French,5.0,8.0,,,
Jeg rev et blad ud af min dagbog,Raquel Rastenni,Denmark,1958,Danish,8.0,3.0,,,
"Dors, mon amour",André Claveau,France,1958,French,1.0,27.0,,,
Für zwei Groschen Musik,Margot Hielscher,Germany,1958,German,7.0,5.0,,,
Nel blu dipinto di blu,Domenico Modugno,Italy,1958,Italian,3.0,13.0,,,
Un grand amour,Solange Berry,Luxembourg,1958,French,9.0,1.0,,,
Heel de wereld,Corry Brokken,Netherlands,1958,Dutch,9.0,1.0,,,
Lilla stjärna,Alice Babs,Sweden,1958,Swedish,4.0,10.0,,,
Giorgio,Lys Assia,Switzerland,1958,German,2.0,24.0,,,
Giorgio,Lys Assia,Switzerland,1958,Italian,2.0,24.0,,,
Der K und K Kalypso aus Wien,Ferry Graf,Austria,1959,German,9.0,4.0,,,
Hou toch van mij,Bob Benny,Belgium,1959,Dutch,6.0,9.0,,,
"Uh, jeg ville ønske jeg var dig",Birthe Wilke,Denmark,1959,Danish,5.0,12.0,,,
"Oui, oui, oui, oui",Jean Philippe,France,1959,French,3.0,15.0,,,
Heute Abend wollen wir tanzen geh'n,Alice & Ellen Kessler,Germany,1959,German,8.0,5.0,,,
"Piove (Ciao, ciao bambina)",Domenico Modugno,Italy,1959,Italian,6.0,9.0,,,
Mon ami Pierrot,Jacques Pills,Monaco,1959,French,11.0,1.0,,,
Een beetje,Teddy Scholten,Netherlands,1959,Dutch,1.0,21.0,,,
Augustin,Brita Borg,Sweden,1959,Swedish,9.0,4.0,,,
Irgendwoher,Christa Williams,Switzerland,1959,German,4.0,14.0,,,
"Sing, Little Birdie",Pearl Carr & Teddy Johnson,United Kingdom,1959,English,2.0,16.0,,,
Du hast mich so fasziniert,Harry Winter,Austria,1960,German,7.0,6.0,,,
Mon amour pour toi,Fud Leclerc,Belgium,1960,French,6.0,9.0,,,
Det var en yndig tid,Katy Bødtger,Denmark,1960,Danish,10.0,4.0,,,
Tom Pillibi,Jacqueline Boyer,France,1960,French,1.0,32.0,,,
Bonne nuit ma chérie,Wyn Hoop,Germany,1960,German,4.0,11.0,,,
Romantica,Renato Rascel,Italy,1960,Italian,8.0,5.0,,,
So laang we's du do bast,Camillo Felgen,Luxembourg,1960,Luxembourgish,13.0,1.0,,,
Ce soir-là,François Deguelt,Monaco,1960,French,3.0,15.0,,,
Wat een geluk,Rudi Carrell,Netherlands,1960,Dutch,12.0,2.0,,,
Voi Voi,Nora Brockstedt,Norway,1960,Norwegian,4.0,11.0,,,
Alla andra får varann,Siw Malmkvist,Sweden,1960,Swedish,10.0,4.0,,,
Cielo e terra,Anita Traversi,Switzerland,1960,Italian,8.0,5.0,,,
"Looking High, High, High",Bryan Johnson,United Kingdom,1960,English,2.0,25.0,,,
Sehnsucht,Jimmy Makulis,Austria,1961,German,15.0,1.0,,,
"September, gouden roos",Bob Benny,Belgium,1961,Dutch,15.0,1.0,,,
Angelique,Dario Campeotto,Denmark,1961,Danish,5.0,12.0,,,
Valoa ikkunassa,Laila Kinnunen,Finland,1961,Finnish,10.0,6.0,,,
"Printemps, avril carillonne",Jean-Paul Mauric,France,1961,French,4.0,13.0,,,
Einmal sehen wir uns wieder,Lale Andersen,Germany,1961,German,13.0,3.0,,,
