,Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
12,Refrain,Lys Assia,Switzerland,1956,['French'],1.0,,,,
14,"Wohin, kleines Pony?",Bob Martin,Austria,1957,['German'],10.0,3.0,,,
15,Straatdeuntje,Bobbejaan Schoepen,Belgium,1957,['Dutch'],8.0,5.0,,,
16,Skibet skal sejle i nat,Birthe Wilke & Gustav Winckler,Denmark,1957,['Danish'],3.0,10.0,,,
17,La belle amour,Paule Desjardins,France,1957,['French'],2.0,17.0,,,
18,"Telefon, Telefon",Margot Hielscher,Germany,1957,['German'],4.0,8.0,,,
19,Corde della mia chitarra,Nunzio Gallo,Italy,1957,['Italian'],6.0,7.0,,,
20,Amours mortes (tant de peine),Danièle Dupré,Luxembourg,1957,['French'],4.0,8.0,,,
21,Net als toen,Corry Brokken,Netherlands,1957,['Dutch'],1.0,31.0,,,
22,L'enfant que j'étais,Lys Assia,Switzerland,1957,['French'],8.0,5.0,,,
23,All,Patricia Bredin,United Kingdom,1957,['English'],7.0,6.0,,,
24,Die ganze Welt braucht Liebe,Liane Augustin,Austria,1958,['German'],5.0,8.0,,,
25,Ma petite chatte,Fud Leclerc,Belgium,1958,['French'],5.0,8.0,,,
26,Jeg rev et blad ud af min dagbog,Raquel Rastenni,Denmark,1958,['Danish'],8.0,3.0,,,
27,"Dors, mon amour",André Claveau,France,1958,['French'],1.0,27.0,,,
28,Für zwei Groschen Musik,Margot Hielscher,Germany,1958,['German'],7.0,5.0,,,
29,Nel blu dipinto di blu,Domenico Modugno,Italy,1958,['Italian'],3.0,13.0,,,
30,Un grand amour,Solange Berry,Luxembourg,1958,['French'],9.0,1.0,,,
31,Heel de wereld,Corry Brokken,Netherlands,1958,['Dutch'],9.0,1.0,,,
32,Lilla stjärna,Alice Babs,Sweden,1958,['Swedish'],4.0,10.0,,,
33,Giorgio,Lys Assia,Switzerland,1958,"['German', 'Italian']",2.0,24.0,,,
34,Der K und K Kalypso aus Wien,Ferry Graf,Austria,1959,['German'],9.0,4.0,,,
