"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","People with basic handwashing facilities including soap and water, rural (% of rural population)","SH.STA.HYGN.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.5779609834344","66.9961189776059","68.4142769717769","69.8324349659483","71.2505929601193","72.6687509542908","74.0869089484622","75.5050669426332","76.9232249368047","78.3413829309757","79.7595409251471","81.1776989193186","82.5958569134896","84.014014907661","85.432172901832","86.8503308960035","88.2684888901749","89.6866468843459","90.2639014517619","90.2639014517619","90.2639014517619","90.2639014517619","90.2639014517619","",
"Armenia","ARM","Births attended by skilled health staff (% of total)","SH.STA.BRTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7","99.7","99.7","98.3","95.5","93.3","93.1","95.7","96.4","97.4","98.8","96.8","98.4","98.8","99.2","99.5","97.8","99.7","99.9","99.9","100","99.5","100","100","100","100","","99.8","","","","","","","",
"Armenia","ARM","People using at least basic sanitation services, rural (% of rural population)","SH.STA.BASS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.1855324304902","77.5111051425881","77.8373615999842","78.1643018026787","78.4919257506713","78.8202334439623","79.1492248825515","79.4789000664389","79.8092589956246","80.1403016701086","80.4720280898908","80.8044382549712","81.13753216535","81.471309821027","81.8057712220022","82.1409163682757","82.4767452598475","82.8132578967175","83.1504542788858","83.3117299234131","83.4730055679404","83.4730055679404","83.4730055679404","",
"Armenia","ARM","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)","SH.STA.AIRP.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3","","","","",
"Armenia","ARM","Risk of catastrophic expenditure for surgical care (% of people at risk)","SH.SGR.CRSK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.7","58.2","45.6","33","27.4","33","36.2","38.6","36.8","31.5","34.5","34.1","38.6","38.9","34.9","33.1","22.9","19.6","21.6","19","",
"Armenia","ARM","Prevalence of anemia among pregnant women (%)","SH.PRG.ANEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7","24.7","24.7","24.5","24.1","23.6","23.1","22.6","22","21.3","20.6","20.2","20","19.6","19.3","18.9","18.6","18.4","18.2","18.1","","","","",
"Armenia","ARM","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","","","","","","","",
"Armenia","ARM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.616","2.55","2.505","2.404","2.408","2.509","2.531","2.609","2.674","2.697","2.775","2.816","2.867","2.899","2.915","2.962","","4.546","","","","","","",
"Armenia","ARM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","95","95","96","89","92","94","92","92","93","91","94","92","94","92","92","94","96","97","97","97","97","97","97","97","96","95","95","94","94","95","",
"Armenia","ARM","Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","SH.HIV.INCD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.03","0.04","0.05","0.06","0.07","0.09","0.12","0.14","0.17","0.19","0.22","0.24","0.26","0.28","0.3","0.31","0.32","0.33","0.34","0.35","0.36","0.36","0.37","",
