"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Croatia","HRV","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.832","13.516","13.15","12.845","10.165","8.719","7.204","7.901","10.962","13.709","16.827","18.831","17.336","16.612","13.658","10.464","7.91","6.206","8.051","7.814","6.057","6.17",
"Croatia","HRV","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.463","14.158","14.342","11.1","12.066","12.367","10.804","9.069","10.803","15.624","17.368","19.692","26.252","21.673","17.843","20.334","11.098","7.452","10.386","12.151","13.842","12.442",
"Croatia","HRV","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.424","38.227","35.89","33.207","30.922","28.875","27.894","31.514","36.148","41.335","39.219","36.102","35.527","32.368","31.906","28.598","25.022","23.585","25.155","32.296","36.617","42.069","50.03","45.549","42.371","31.311","27.399","23.756","16.654","21.137","21.933","18.067","19.237",
"Croatia","HRV","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.559","36.43","34.218","31.733","29.673","27.871","26.885","30.813","35.709","41.162","41.142","38.613","38.129","36.74","34.595","30.744","29.141","28.144","27.361","33.484","36.037","41.945","50.156","46.402","43.698","31.35","27.764","29.459","19.81","25.049","26.4","22.686","22.303",
"Croatia","HRV","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9","14.2","14.74","16.95","16.23","16.91","17.9","18.48","17.41","16.74","18.55","18.21","20.83","25.7","24.1","23.15","25.34","25.95","29.57","27.04","28.14","26.36",
"Croatia","HRV","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.801","69.257","68.955","68.527","67.44","72.164","71.701","69.806","68.983","69.601","68.903","66.9","69.24","69.065","67.629","68.686","67.898","67.72","68.009","68.563","68.487","63.447",
"Croatia","HRV","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.807","67.973","67.117","66.248","65.379","64.515","63.648","62.777","61.902","61.022","60.13","59.224","58.644","59.563","57.444","56.318","61.537","61.262","60.181","59.664","59.775","58.856","57.685","58.843","59.115","57.733","58.176","57.358","57.518","57.896","58.254","58.198","57.663",
"Croatia","HRV","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.284","46.059","45.827","45.594","45.368","45.152","44.942","44.735","44.533","44.333","44.13","43.924","42.769","43.569","42.563","42.753","45.145","45.746","46.716","46.143","44.614","44.537","44.579","46.416","46.86","45.409","45.543","45.476","45.139","44.638","45.746","46.798","47.929",
"Croatia","HRV","Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.871","26.064","26.51","26.207","25.209","27.255","27.824","28.716","28.694","28.316","25.219","23.452","24.669","24.871","21.537","19.109","18.418","18.595","16.618","17.678","18.011","11.316",
"Croatia","HRV","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.44","65.158","64.835","64.483","64.237","64.023","63.732","63.421","63.094","62.743","62.4","62.058","61.137","62.276","60.718","60.386","65.564","65.742","65.667","65.195","64.305","64.047","63.909","66.399","67.21","65.857","66.654","66.473","66.638","67.099","68.425","69.311","",
