"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Georgia","GEO","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.19562006472527","","","","","5.4952070624413","","","","","4.60832310374145","","","","","4.46464383290137","","","","","4.28697273402332","","","","","4.22024835167253","","","","","","","","",
"Georgia","GEO","Net migration","SM.POP.NETM","16740","18014","18976","19406","19373","18975","36699","39616","41791","38629","-1310","-10996","-11099","-10762","-10251","-9606","-8953","-8208","-9758","-14281","-12594","-12822","-12366","-10052","-13347","-15060","-13505","-9996","-12274","-85695","-108964","-111959","-121649","-154787","-147547","-130196","-134001","-133253","-127967","-131772","-135044","-110972","-58530","-31080","-30611","-31214","-31733","-32140","-32462","-32758","-24663","-25975","-26510","-27185","-16045","-13317","-10591","-7886","-5174","-5414","-2734","-2734","-9999","-9999",
"Georgia","GEO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","5.4","5.4","8.4","7.6","11.5","11.5","14.53","13.8","10.82","11.16","12.59","11.51","12.62","13.81","13.57","13.28","17.87","20.71","20.203","19.632","19.653","19.416","17.439","16.506","16.604","13.939","12.667","11.565","11.73","11.794","11.657","11.622",
"Georgia","GEO","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.548","5.097","5.097","7.931","7.175","10.857","10.856","13.716","12.165","10.503","10.652","11.01","11.541","11.78","12.69","11.673","12.574","17.591","19.077","17.559","17.378","18.35","16.175","14.475","13.934","12.584","12.722","11.24","10.161","10.226","10.31","10.236","10.204",
"Georgia","GEO","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.157","36.004","32.964","33.517","31.695","28.672","30.988","29.061","26.366","","","",
"Georgia","GEO","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.46","","","1.25","","","","","","","19.829","19.028","11.386","11.079","15.547","12.76","10.199","12.303","10.936","10.491","11.274","12.86","","","",
"Georgia","GEO","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.72","","","17.97","","","","","","","","","25.438","23.019","24.763","22.034","21.042","23.263","16.222","14.477","12.156","13.494","","","",
"Georgia","GEO","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.43","8.859","8.86","13.791","12.503","18.975","19.025","24.049","24.111","21.067","20.01","27.525","19.712","24.669","26.479","28.906","27.754","33.835","39.425","38.577","39.313","36.376","41.192","40.417","34.691","37.429","26.402","26.475","28.606","29.971","29.357","28.821","28.726",
"Georgia","GEO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2401258","2437587","2477941","2465796","2363141","2251594","2159278","2103909","2090746","2003965","2052705","2011314","2046867","2011427","1992449","1938834","1974742","1982038","2001608","2015786","2022484","2047551","2027705","2039516","2065655","2046196","1971577","1895181","1856196","1866753","1876551","1839750","1853143",
"Georgia","GEO","Part time employment, female (% of total female employment)","SL.TLF.PART.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.88","45.19","44.6","18.61","","","",
